,datetime,open,high,low,close,volume,hold
318,2025-07-01 14:46:00,5032.0,5036.0,5032.0,5034.0,391,207505
319,2025-07-01 14:47:00,5036.0,5036.0,5032.0,5034.0,620,207469
320,2025-07-01 14:48:00,5034.0,5034.0,5032.0,5032.0,115,207514
321,2025-07-01 14:49:00,5032.0,5034.0,5032.0,5034.0,154,207470
322,2025-07-01 14:50:00,5034.0,5034.0,5032.0,5034.0,187,207548
323,2025-07-01 14:51:00,5034.0,5038.0,5034.0,5038.0,817,207478
324,2025-07-01 14:52:00,5038.0,5038.0,5034.0,5034.0,669,207316
325,2025-07-01 14:53:00,5034.0,5036.0,5034.0,5036.0,447,207243
326,2025-07-01 14:54:00,5036.0,5036.0,5032.0,5034.0,361,207241
327,2025-07-01 14:55:00,5032.0,5034.0,5032.0,5034.0,686,207246
328,2025-07-01 14:56:00,5034.0,5034.0,5032.0,5034.0,575,207393
329,2025-07-01 14:57:00,5034.0,5034.0,5030.0,5030.0,1531,207234
330,2025-07-01 14:58:00,5030.0,5030.0,5028.0,5028.0,2323,207857
331,2025-07-01 14:59:00,5028.0,5028.0,5018.0,5020.0,6242,207267
332,2025-07-01 15:00:00,5018.0,5026.0,5018.0,5026.0,2465,207296
333,2025-07-01 21:01:00,5028.0,5030.0,5024.0,5026.0,3995,208189
334,2025-07-01 21:02:00,5026.0,5030.0,5024.0,5028.0,2310,208526
335,2025-07-01 21:03:00,5028.0,5028.0,5022.0,5024.0,2314,209367
336,2025-07-01 21:04:00,5024.0,5026.0,5022.0,5024.0,966,209609
337,2025-07-01 21:05:00,5026.0,5026.0,5022.0,5024.0,824,209824
338,2025-07-01 21:06:00,5024.0,5028.0,5022.0,5028.0,1191,210018
339,2025-07-01 21:07:00,5028.0,5030.0,5026.0,5026.0,1482,210345
340,2025-07-01 21:08:00,5026.0,5030.0,5024.0,5028.0,1395,210577
341,2025-07-01 21:09:00,5028.0,5030.0,5028.0,5028.0,1444,211095
342,2025-07-01 21:10:00,5028.0,5030.0,5022.0,5026.0,1775,211567
343,2025-07-01 21:11:00,5024.0,5026.0,5020.0,5020.0,2099,212457
344,2025-07-01 21:12:00,5022.0,5022.0,5018.0,5018.0,1842,212958
345,2025-07-01 21:13:00,5020.0,5020.0,5014.0,5016.0,3283,213411
346,2025-07-01 21:14:00,5014.0,5016.0,5008.0,5010.0,3828,214552
347,2025-07-01 21:15:00,5010.0,5012.0,5006.0,5008.0,3389,216167
348,2025-07-01 21:16:00,5006.0,5014.0,5006.0,5014.0,2271,217047
349,2025-07-01 21:17:00,5014.0,5016.0,5012.0,5016.0,1462,217330
350,2025-07-01 21:18:00,5014.0,5016.0,5010.0,5012.0,2001,217711
