,Open,High,Low,Close,Volume
29/04/2025 14:45,14,20,22,18,1498
29/04/2025 15:00,18,20,16,20,59814
29/04/2025 21:15,36,24,24,14,6593
29/04/2025 21:30,14,16,14,12,3778
29/04/2025 21:45,12,14,14,14,3146
29/04/2025 22:00,14,16,10,12,5286
29/04/2025 22:15,14,14,12,14,3999
29/04/2025 22:30,14,14,14,10,1746
29/04/2025 22:45,8,10,10,6,3848
29/04/2025 23:00,6,10,6,10,2591
30/04/2025 09:15,10,10,10,10,3354
30/04/2025 09:30,12,12,10,10,1957
30/04/2025 09:45,10,12,10,8,2481
30/04/2025 10:00,10,10,10,14,47155
30/04/2025 10:15,14,14,10,10,1682
30/04/2025 10:45,10,14,14,18,2926
30/04/2025 11:00,18,20,18,20,2697
30/04/2025 11:15,20,22,18,16,2038
30/04/2025 11:30,16,18,12,8,631
30/04/2025 13:45,6,12,8,10,1362
30/04/2025 14:00,10,12,8,12,1642
30/04/2025 14:15,12,10,8,10,-5966
30/04/2025 14:30,12,14,12,14,-6273
30/04/2025 14:45,14,10,10,12,2292
30/04/2025 15:00,10,16,16,18,2854
06/05/2025 09:15,8,22,16,18,8259
06/05/2025 09:30,18,16,14,12,4912
06/05/2025 09:45,14,12,14,16,5571
06/05/2025 10:00,16,14,14,12,2301
06/05/2025 10:15,12,14,12,10,1476
06/05/2025 10:45,10,14,12,14,1482
06/05/2025 11:00,14,18,20,16,1937
06/05/2025 11:15,16,18,20,18,383
06/05/2025 11:30,18,20,20,20,788
06/05/2025 13:45,22,24,20,24,228
06/05/2025 14:00,24,24,24,20,35668
06/05/2025 14:15,20,20,18,22,-6889
06/05/2025 14:30,22,22,18,16,1140
06/05/2025 14:45,16,20,18,18,947
06/05/2025 15:00,18,18,22,24,2833
06/05/2025 21:15,4,22,20,18,4135
06/05/2025 21:30,16,18,20,22,1797
06/05/2025 21:45,22,20,20,20,1407
06/05/2025 22:00,20,22,18,22,1863
06/05/2025 22:15,22,22,22,18,2316
06/05/2025 22:30,18,20,20,20,1134
06/05/2025 22:45,20,20,20,20,794
06/05/2025 23:00,20,-6,20,12,985
07/05/2025 09:15,22,28,22,30,7734
07/05/2025 09:30,28,20,24,20,2885
07/05/2025 09:45,20,24,26,28,3408
07/05/2025 10:00,28,28,26,28,1551
07/05/2025 10:15,28,30,28,28,899
07/05/2025 10:45,28,22,26,22,2258
07/05/2025 11:00,22,24,22,22,978
07/05/2025 11:15,20,24,20,22,961
07/05/2025 11:30,22,20,20,18,-8513
07/05/2025 13:45,20,20,22,18,429
07/05/2025 14:00,16,20,22,20,523
07/05/2025 14:15,20,20,20,20,165
07/05/2025 14:30,20,14,20,16,359
07/05/2025 14:45,16,18,16,18,2286
07/05/2025 15:00,20,20,16,18,5864
07/05/2025 21:15,18,24,20,20,4039
07/05/2025 21:30,20,22,22,22,2861
07/05/2025 21:45,24,24,24,20,1230
07/05/2025 22:00,20,24,20,24,1310
07/05/2025 22:15,24,24,28,28,535
07/05/2025 22:30,28,28,28,28,498
07/05/2025 22:45,26,30,28,30,367
07/05/2025 23:00,30,32,36,38,745
08/05/2025 09:15,36,36,36,30,2127
08/05/2025 09:30,30,30,32,30,1086
08/05/2025 09:45,30,30,32,30,964
08/05/2025 10:00,30,30,30,30,392
08/05/2025 10:15,30,32,32,32,555
08/05/2025 10:45,30,30,28,28,325
08/05/2025 11:00,28,28,30,28,605
08/05/2025 11:15,28,30,28,30,713
08/05/2025 11:30,30,30,32,32,630
08/05/2025 13:45,30,30,30,30,1374
08/05/2025 14:00,30,34,32,28,926
08/05/2025 14:15,30,32,30,32,747
08/05/2025 14:30,32,30,30,30,355
08/05/2025 14:45,30,30,28,28,1322
08/05/2025 15:00,28,32,28,26,1593
08/05/2025 21:15,22,36,26,34,8234
08/05/2025 21:30,36,36,36,38,2981
08/05/2025 21:45,38,36,34,36,1754
08/05/2025 22:00,36,36,38,38,1070
08/05/2025 22:15,40,40,40,38,555
08/05/2025 22:30,38,40,38,38,436
08/05/2025 22:45,38,38,38,38,1403
08/05/2025 23:00,36,32,36,32,529
09/05/2025 09:15,30,34,34,38,768
09/05/2025 09:30,38,36,36,40,215
09/05/2025 09:45,40,36,36,36,214
09/05/2025 10:00,38,34,34,36,322
09/05/2025 10:15,36,36,34,32,296
09/05/2025 10:45,32,34,36,36,597
09/05/2025 11:00,36,38,34,34,1108
09/05/2025 11:15,34,28,34,32,1204
09/05/2025 11:30,32,32,36,36,678
09/05/2025 13:45,38,32,34,34,969
09/05/2025 14:00,34,38,36,38,267
09/05/2025 14:15,38,38,36,36,369
09/05/2025 14:30,36,36,34,32,923
09/05/2025 14:45,32,34,28,30,1669
09/05/2025 15:00,30,24,30,30,1294
09/05/2025 21:15,28,32,32,30,4675
09/05/2025 21:30,30,34,30,34,1489
09/05/2025 21:45,34,34,34,34,825
09/05/2025 22:00,34,34,32,32,877
09/05/2025 22:15,32,32,34,36,583
09/05/2025 22:30,36,34,34,34,441
09/05/2025 22:45,34,32,34,34,184
09/05/2025 23:00,34,36,40,40,443
12/05/2025 09:15,60,44,58,48,9198
12/05/2025 09:30,50,46,50,42,2573
12/05/2025 09:45,42,44,36,38,1837
12/05/2025 10:00,38,38,34,34,1512
12/05/2025 10:15,34,34,34,34,1071
12/05/2025 10:45,34,38,38,42,817
